,id,title,release_date,vote_average,vote_count,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,imdb_score
1069,744,Top Gun,1986-05-16,6.7,1736.0,1986.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6.71561302070023
1100,762,Monty Python and the Holy Grail,1975-03-13,7.8,1742.0,1975.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.570254555881228
1152,510,One Flew Over the Cuckoo's Nest,1975-11-18,8.3,3001.0,1975.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.081465499653161
1154,1891,The Empire Strikes Back,1980-05-17,8.2,5998.0,1980.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.089952402937167
1155,2493,The Princess Bride,1987-09-18,7.6,1518.0,1987.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7.39430659776299
1156,85,Raiders of the Lost Ark,1981-06-12,7.7,3949.0,1981.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5954620621006335
1158,679,Aliens,1986-07-18,7.7,3282.0,1986.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,7.577025572259576
1159,429,"The Good, the Bad and the Ugly",1966-12-23,8.1,2371.0,1966.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.868342289894014
1161,389,12 Angry Men,1957-03-25,8.2,2130.0,1957.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.928102933188485
1163,185,A Clockwork Orange,1971-12-18,8.0,3432.0,1971.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.843568340357506
1165,28,Apocalypse Now,1979-08-15,8.0,2112.0,1979.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.764514056005251
1166,335,Once Upon a Time in the West,1968-12-21,8.1,1160.0,1968.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.699343803786576
1167,1892,Return of the Jedi,1983-05-23,7.9,4763.0,1983.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.792629814608724
1170,769,GoodFellas,1990-09-12,8.2,3211.0,1990.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.007305501020134
1171,348,Alien,1979-05-25,7.9,4564.0,1979.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,7.7884104886030245
1176,539,Psycho,1960-06-16,8.3,2405.0,1960.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,8.036630194246374
1177,525,The Blues Brothers,1980-06-17,7.5,1092.0,1980.0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.270672559224695
1178,240,The Godfather: Part II,1974-12-20,8.3,3418.0,1974.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.104724531466491
1179,600,Full Metal Jacket,1987-06-26,7.9,2595.0,1987.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.717418647588277
1182,279,Amadeus,1984-10-26,7.8,1107.0,1984.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,7.479471508578541
1184,311,Once Upon a Time in America,1984-02-16,8.3,1104.0,1984.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.823011667260421
1186,703,Annie Hall,1977-04-19,7.8,1044.0,1977.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.466392949666913
1195,218,The Terminator,1984-10-26,7.4,4208.0,1984.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.333073643646074
1201,207,Dead Poets Society,1989-06-02,8.1,2786.0,1989.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.897599121815493
1213,694,The Shining,1980-05-22,8.1,3890.0,1980.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.9484990237552875
1214,235,Stand by Me,1986-08-22,7.8,1568.0,1986.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.550923943078199
1220,137,Groundhog Day,1993-02-11,7.4,2358.0,1993.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7.289751824452664
1221,33,Unforgiven,1992-08-07,7.7,1133.0,1992.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.415193333916543
1225,105,Back to the Future,1985-07-03,8.0,6239.0,1985.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7.908726920060204
1246,89,Indiana Jones and the Last Crusade,1989-05-24,7.6,3221.0,1989.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.488446846085921
1273,8077,Alien³,1992-05-22,6.2,1664.0,1992.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.331659294956429
1291,6114,Dracula,1992-11-13,7.1,1087.0,1992.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.9959739850571605
1299,377,A Nightmare on Elm Street,1984-11-14,7.2,1212.0,1984.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.074363734979974
1321,1573,Die Hard 2,1990-07-02,6.6,1920.0,1990.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.635087072018891
1328,364,Batman Returns,1992-06-19,6.6,1706.0,1992.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.638490804299961
1331,621,Grease,1978-07-07,7.2,1633.0,1978.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.099161141249748
1338,578,Jaws,1975-06-18,7.5,2628.0,1975.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.383283476434052
1342,75,Mars Attacks!,1996-12-12,6.1,1544.0,1996.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.263850642996925
1356,4232,Scream,1996-12-20,7.0,1520.0,1996.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.943025106082037
1409,9366,Donnie Brasco,1997-02-27,7.4,1175.0,1997.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.211886993603412
1425,1624,Liar Liar,1997-03-21,6.4,1456.0,1997.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.494535130002922
1451,816,Austin Powers: International Man of Mystery,1997-05-02,6.5,1033.0,1997.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.588004379834127
1460,18,The Fifth Element,1997-05-07,7.3,3962.0,1997.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7.240589581865915
1474,330,The Lost World: Jurassic Park,1997-05-23,6.2,2528.0,1997.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.294092045668995
1482,1701,Con Air,1997-06-01,6.5,1289.0,1997.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.575411243312306
1491,415,Batman & Robin,1997-06-20,4.2,1447.0,1997.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.859943869689633
1495,11970,Hercules,1997-06-26,7.3,1741.0,1997.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7.1817093771913045
1502,754,Face/Off,1997-06-27,6.8,1612.0,1997.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.792855451839827
1508,607,Men in Black,1997-07-02,6.9,4521.0,1997.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.887036589182576
1512,686,Contact,1997-07-11,7.2,1338.0,1997.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7.082976449556972
1544,2118,L.A. Confidential,1997-09-19,7.7,1340.0,1997.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.447234083850931
1551,2649,The Game,1997-09-12,7.5,1556.0,1997.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.322427390216788
1567,1813,The Devil's Advocate,1997-10-17,7.2,1414.0,1997.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,7.08762315270936
1575,782,Gattaca,1997-09-07,7.5,1846.0,1997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,7.344377968578737
1598,563,Starship Troopers,1997-11-06,6.7,1584.0,1997.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.716751782286811
1604,37165,The Truman Show,1998-06-04,7.8,4702.0,1998.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.700982451804252
1610,9444,Anastasia,1997-11-20,7.4,1481.0,1997.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.24094432826134
1612,8078,Alien: Resurrection,1997-11-12,5.9,1388.0,1997.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.130355251210655
1624,489,Good Will Hunting,1997-12-05,7.9,2880.0,1997.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.732813820794591
1639,597,Titanic,1997-11-18,7.5,7770.0,1997.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,7.455853774399723
1647,184,Jackie Brown,1997-12-24,7.3,1580.0,1997.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.172553228021978
1650,115,The Big Lebowski,1998-03-06,7.8,3001.0,1998.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.652873668747705
1702,9313,The Man in the Iron Mask,1998-03-12,6.3,1052.0,1998.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451359996318116
1773,929,Godzilla,1998-05-20,5.3,1075.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.766609977324263
1775,1878,Fear and Loathing in Las Vegas,1998-05-22,7.2,1321.0,1998.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.081883972699459
1798,10674,Mulan,1998-06-18,7.6,2089.0,1998.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.439671963802902
1808,95,Armageddon,1998-07-01,6.5,2540.0,1998.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.54437852443609
1814,544,There's Something About Mary,1998-07-15,6.5,1616.0,1998.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.563757426411018
1845,1366,Rocky,1976-11-21,7.5,1843.0,1976.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3441787086153285
1852,380,Rain Man,1988-12-11,7.6,1762.0,1988.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.416494568649741
1859,2108,The Breakfast Club,1985-02-15,7.8,2189.0,1985.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.608445784412687
1873,948,Halloween,1978-10-25,7.4,1066.0,1978.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.198793559569422
1888,9552,The Exorcist,1973-12-26,7.5,2046.0,1973.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,7.356602794299181
1891,941,Lethal Weapon,1987-03-06,7.0,1367.0,1987.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.93835603336139
1892,942,Lethal Weapon 2,1989-07-07,6.7,1066.0,1989.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.722292920999818
1894,927,Gremlins,1984-06-07,6.9,1629.0,1984.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.869427296517481
1896,9340,The Goonies,1985-06-06,7.4,1563.0,1985.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.247266463541306
1897,9342,The Mask of Zorro,1998-07-16,6.3,1211.0,1998.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.437294397595391
1902,165,Back to the Future Part II,1989-11-20,7.4,3926.0,1989.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7.328809470014848
1903,196,Back to the Future Part III,1990-05-25,7.1,2978.0,1990.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7.052533270352419
1909,3170,Bambi,1942-08-14,6.8,1450.0,1942.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.792261904761904
1914,242,The Godfather: Part III,1990-12-24,7.1,1589.0,1990.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0209720987485476
1919,857,Saving Private Ryan,1998-07-24,7.9,5148.0,1998.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7.799948780857952
1969,9325,The Jungle Book,1967-10-17,7.1,1791.0,1967.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.027940076074078
1971,10340,Lady and the Tramp,1955-06-16,6.9,1241.0,1955.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8626138508246495
1972,10144,The Little Mermaid,1989-11-17,7.2,1921.0,1989.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.111156841918923
1976,12230,One Hundred and One Dalmatians,1961-01-25,6.8,1643.0,1961.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.792958802746483
